Time Data
43808.1024716 0
43808.10248165723 1
43808.10249171445 2
43808.10250177168 3
43808.1025118289 4
43808.10252188613 5
43808.102531943354 6
43808.10254200058 7
43808.10255205781 8
43808.10256211503 9
43808.10257217226 10
43808.10258222948 11
43808.10259228671 12
43808.10260234393 13
43808.10261240116 14
43808.102622458384 15
43808.10263251561 16
43808.10264257284 17
43808.10265263006 18
43808.10266268729 19
43808.10267274451 20
43808.10268280174 21
43808.10269285896 22
43808.10270291619 23
43808.10271297342 24
43808.10272303064 25
43808.10273308787 26
43808.10274314509 27
43808.10275320232 28
43808.10276325954 29
43808.10277331677 30
43808.10278337399 31
43808.10279343122 32
43808.10280348845 33
43808.10281354567 34
43808.1028236029 35
43808.10283366012 36
43808.10284371735 37
43808.10285377457 38
43808.1028638318 39
43808.10287388903 40
43808.10288394625 41
43808.10289400348 42
43808.1029040607 43
43808.10291411793 44
43808.10292417515 45
43808.10293423238 46
43808.1029442896 47
43808.10295434683 48
43808.10296440406 49
43808.10297446128 50
43808.10298451851 51
43808.10299457573 52
43808.10300463296 53
43808.10301469018 54
43808.10302474741 55
43808.10303480464 56
43808.10304486186 57
43808.10305491909 58
43808.10306497631 59
43808.10307503354 60
43808.10308509076 61
43808.10309514799 62
43808.10310520521 63
43808.10311526244 64
43808.10312531967 65
43808.10313537689 66
43808.10314543412 67
43808.10315549134 68
43808.10316554857 69
43808.10317560579 70
43808.10318566302 71
43808.10319572025 72
43808.10320577747 73
43808.1032158347 74
43808.10322589192 75
43808.10323594915 76
43808.10324600637 77
43808.1032560636 78
43808.10326612082 79
43808.10327617805 80
43808.10328623528 81
43808.1032962925 82
43808.10330634973 83
43808.10331640695 84
43808.10332646418 85
43808.1033365214 86
